Number of punctuation signs,Number of words capitalized,Number of !,Number of ?,Number of words,Overall polarity,Overall subjectivity,Number of pozitive words,Number of negative words,Number of negative capitalized words,Number of pozitive capitalized words,Number of urls,Percentage of capitalized words,Number of pozitive nouns,Number of negative nouns,Number of pozitive verbs,Number of negative verbs,Number of negative adverbs,Number of pozitive adverbs,Number of pozitive adjectives,Number of negative adjectives,Sum of all nouns polarity,Sum of all verbs polarity,Sum of all adjectives polarity,Sum of all adverbs polarity,Label
0.07894736842105263,0.06936416184971098,0.017543859649122806,0.0,0.42391304347826086,0.5274305555555555,0.46388888888888885,0.2727272727272727,0.14285714285714285,0.0,0.0,0.0,0.12903225806451613,0.0,0.375,0.0,0.2,0.0,0.2222222222222222,0.2222222222222222,0.0,0.5016611295681063,0.48275862068965514,0.5218845985081176,0.4747404844290657,negative
0.07894736842105263,0.06936416184971098,0.05263157894736842,0.0,0.6358695652173914,0.34305555555555556,0.5583333333333332,0.09090909090909091,0.5714285714285714,0.14285714285714285,0.0,0.0,0.09090909090909091,0.0,0.125,0.0,0.0,0.0,0.0,0.1111111111111111,0.8571428571428571,0.5946843853820597,0.5172413793103449,0.25340061430451954,0.3294117647058823,negative
0.03070175438596491,0.03468208092485549,0.0,0.14285714285714285,0.20652173913043478,0.41000000000000003,0.47000000000000003,0.0,0.14285714285714285,0.0,0.0,0.0,0.11320754716981132,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.14285714285714285,0.6212624584717608,0.4310344827586207,0.4108709960508995,0.3294117647058823,negative
0.07894736842105263,0.08092485549132948,0.017543859649122806,0.0,0.5597826086956522,0.6037637362637363,0.6078571428571429,0.36363636363636365,0.07142857142857142,0.0,0.0,0.0,0.11864406779661017,0.0,0.0,0.2,0.0,0.0,0.1111111111111111,0.3333333333333333,0.14285714285714285,0.6212624584717608,0.6896551724137931,0.5344684385382059,0.38477508650519027,pozitive
0.07894736842105263,0.12138728323699421,0.017543859649122806,0.0,0.5434782608695652,0.3829365079365079,0.43440170940170947,0.09090909090909091,0.14285714285714285,0.0,0.0,0.0,0.1826086956521739,0.0,0.125,0.0,0.2,0.25,0.0,0.05555555555555555,0.0,0.5813953488372092,0.3620689655172414,0.4699978060552874,0.19377162629757783,pozitive
0.043859649122807015,0.057803468208092484,0.0,0.0,0.30978260869565216,0.5761728395061728,0.5813580246913581,0.22727272727272727,0.07142857142857142,0.0,0.16666666666666666,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.14285714285714285,0.6212624584717608,0.5172413793103449,0.5612220272049144,0.3294117647058823,pozitive
0.021929824561403508,0.011560693641618497,0.017543859649122806,0.0,0.18478260869565216,0.55,0.5125,0.09090909090909091,0.07142857142857142,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.0,0.6212624584717608,0.5172413793103449,0.4543111013602457,0.46505190311418676,negative
0.07456140350877193,0.057803468208092484,0.07017543859649122,0.0,0.30978260869565216,0.6123263888888889,0.4798611111111111,0.22727272727272727,0.07142857142857142,0.0,0.25,0.0,0.1388888888888889,0.0,0.0,0.2,0.0,0.0,0.1111111111111111,0.16666666666666666,0.14285714285714285,0.6212624584717608,0.603448275862069,0.6039381307591049,0.3778546712802768,negative
0.08771929824561403,0.08092485549132948,0.0,0.0,0.8097826086956522,0.6311805555555556,0.5889682539682539,0.4090909090909091,0.14285714285714285,0.0,0.16666666666666666,0.0,0.08536585365853659,0.2,0.0,0.2,0.0,0.5,0.2222222222222222,0.2777777777777778,0.0,0.6592311343141907,0.603448275862069,0.57118567040682,0.3697808535178777,pozitive
0.11403508771929824,0.07514450867052024,0.0,0.0,0.8152173913043478,0.5363636363636364,0.42992424242424254,0.5454545454545454,0.5,0.0,0.0,0.0,0.07878787878787878,0.0,0.25,0.2,0.0,0.0,0.1111111111111111,0.5,0.5714285714285714,0.5348837209302325,0.603448275862069,0.5954914436156209,0.36816608996539785,negative
